IdColonia,IdInegi,NomColonia,Habitantes,Mujeres,Hombres,Pob0a14,Pob15a64,Pob18mas,ViviendasHabitadas,PromOcuxVivHab,Fundacion,ColinNorte,ColinSur,ColinOriente,ColinPoniente,ArroyoEntubado,ArroyoInterperie,Cerro,Barranco,CentroCultural,ParquesyJarines,JuegosInfantiles,PlazaCivica,CalleAlumbrado%,CallePavimento%,CalleAdoquin%,CalleEmpedrado%,CalleTerraceria%,VivAguaPot%,VivDrenaje%,VivFosaSep%,VivElectricidad%,RutasTransporte,OficinaCorreo,RegistroCivil,DeleAgencia,Cementerio,ModuloPoli,PatrullasColonia,PlumaIngresos,PobRelCatolica%,CP,ZonaC,Sele
1,0,12 de diciembre,2114,1035,1074,835,1232,1094,427,4.9509999999999996,Diciembre de 1995,Cerro El Colli,El Rehilete,Miramar y Balcones del Sol,La Floresta,FALSO,FALSO,VERDADERO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,20,0,0,5,95,100,100,0,50,51-A Floresta,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45068,7,0
2,001-F,27 de Septiembre,1730,906,824,469,1122,1171,478,3.9199999999999999,,Constitución,"Gusa, Lomas del Batán","Venustiano Carranza, Lomas del Batan",Santa Paula,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,92.05000305,96.02999878,0,98.01000214,50-B,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45180,1B,1
3,002-L,"Abetos, Los",367,188,179,121,240,231,101,3.63,,Terreno baldío,Conjunto Laureles,"Rinconada La Azalea, Aves del Paraíso, San Gilberto.",El Rodeo,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99.01000214,98.01999664,0,99.01000214,Inexistente,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,1B,0
4,0,Acacias Residencial,499,244,255,75,338,0,188,2.6539999999999999,,,Camino Real,,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,"45, 629-A, 629-B y Cardenal.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,5A,0
5,003-E,Agraria,111,57,48,25,79,86,51,4.7800000000000002,,Jacarandas,Municipio de Guadalajara,,Altamira,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,95.18000031,92.16999817,0,95.77999878,"190, 634 por prol. Américas; 622 por Av. Patria",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45160,1A,0
6,004-J,"Agrícola, La",3256,1655,1597,976,2128,2082,830,3.3100000000000001,En 1965,El Briseño,Francisco Sarabia,"Periodistas, El Mante",Paseos del Briseño,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,VERDADERO,FALSO,100,60,0,20,20,83.56999969,92.41999817,2.369999886,96.05000305,"24, 258, 625, 632 y 380 (periférico)",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45236,8,0
7,005-D,Agua Blanca Poblado,1326,680,637,371,879,873,340,3.75,1930,El Mante,"Agua Blanca Sur, La Florida",Agua Blanca Industrial,"Cd. Bugambilias, Miguel de la Madrid",VERDADERO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,40,10,50,0,87.38999939,94.04000092,0.920000017,94.72000122,"619-A, 619, 632, 24, 183, Santa Anita.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45235,8,0
8,006-I,Agua Blanca Industrial,2751,1315,1403,799,1857,1767,647,3.73,1983,El Mante,La Florida,Municipio de Tlaquepaque,Agua Blanca,VERDADERO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,10,0,72,18,82.12000275,90.16000366,2.849999905,93.77999878,625 y 619-A,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45235,8,0
9,007-C,Agua Blanca Sur,685,331,341,195,463,448,198,2.73,,Agua Blanca,El Campanario,"La Florida, Cajetes",Terreno Baldío,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,20,0,80,0,77.33000183,94.19000244,4.070000172,97.08999634,619-A,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45235,8,0
10,008-H,Agua Fría,6622,3222,3393,2519,3928,3663,1657,4.6230000000000002,,Villa de Guadalupe,Balcones de la Cantera,"Miguel Hidalgo, Nueva España",Lomas de Tabachines,FALSO,VERDADERO,VERDADERO,VERDADERO,-Inexistente-,FALSO,FALSO,FALSO,85,0,0,70,30,79.19999695,63,25.39999962,94.19999695,"30 directo, 142, 636 y 341.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45186,2A,1
