Vencimiento,Autorizacion,Observaciones,Aforo,Inicio,Fin,Alcohol,Calle,Exterior,Interior,Colonia,Cruce 1,Cruce 2
03/01/2014,03/01/2014,"EVENTO PARTIDO ESTUDIANTES TECOS VS LEONES NEGROS DIA 03/ENE/14, PUERTAS 17:30 HRS. EVENTO 19:30 A 21:30 HRS. AFORO 5,000 PERS. CON COBRO DE ENTRADA.",5000,1930,2130,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
06/01/2014,06/12/2013,"EVENTO INSTALACION DE CIRCO DEL 06 DICIEMBRE 2013 AL 06 ENERO 2014, FUNCIONES LUNES A SABADO 18:15 Y 20:30 HRS. Y DOMINGOS 12.16.18:15 Y 20:30 HRS. AFORO 1,000 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS,",1000,1815,2030,0,DIECISEIS DE SEPTIEMBRE,0,,HIDALGO MIGUEL,ITURBIDE,CALLE NO ENCONTRADA
07/01/2014,28/11/2013,"EVENTO TALLERES INFANTILES (4), DENOMINADOS: CHRISTMAS TOYS, BACKERY CHRISTMAS HOUSE, GINGERBREAD FACTORY Y RIGOLO, CON UN AFORO DE 30 NI袿S POR TALLER DEL 28/NOV/13 AL 07/ENE/14, DE 12:00 A 21:00 HRS. ACCESO MEDIANTE BOLETO CANJEABLE POR TICKET DE COMPRA",,1200,2100,0,SANZIO RAFAEL,150,ATRIO-C,CAMICHINES VALLARTA,VALLARTA,CALLE NO ENCONTRADA
10/01/2014,20/09/2013,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA,  LOS DIAS 04 OCTUBRE 2013 Y 10 ENERO 2014, DE LAS 15:00 A 19.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1500,1900,0,CENTAURO,0,,CALMA LA,TORO,PERSEO
12/01/2014,12/01/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS CHIAPAS DIA 12 ENERO 2014 CON HORARIO DE APERTURA DE PUERTAS: 14:00HRS, EVENTO 17:00 HRS, TERMINO DEL EVENTO 19:00 HRS, DESAFORO: 21:00 HRS, AFORO PARA 35,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",35000,1400,1700,1,JVC,2800,"ESTADIO,OMNILIF",BAJIO EL,VALLARTA,ANILLO PERIFERICO
15/01/2014,15/01/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS UDG, EL 15 ENERO 2014, PUERTAS: 18:00HRS, EVENTO 21:00 HRS, TERMINO DEL EVENTO 23:00 HRS, DESAFORO: 01:00 HRS, AFORO PARA 27,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",27000,2300,100,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
17/01/2014,17/01/2014,"EVENTO PRESENTACION DE REVISTA PRESS, EL DIA 17 ENERO 2014, DE LAS 20.00 A 24:00 HRS. SIN COBRO DE ENTRADA, ACCESO CON INVITACION, AFORO 300 PERSONAS, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE LATA Y BAJA GRADUACION, CANAPES, MUSICA GRABADA",300,2000,2400,1,OTERO MARIANO,405,,JARD. DEL SOL,PLEYADES,LOPEZ MATEOS
17/01/2014,17/01/2014,"EVENTO PARTIDO TECOS VS ALTAMIRA EL DIA 17 DE ENERO DEL 2014, PUERTAS 17:30 HRS, EVENTO 19:30 A 21:30 HRS, AFORO 2,000 PERSONAS CON COBRO DE ENTRADA.",2000,1930,2130,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
18/01/2014,18/01/2014,"EVENTO WISIN & YANDEL  EL DIA 18 ENERO 2014, CONTARA CON 03 ACCESOS, APERTURA PTAS. 19:00 HRS. EVENTO DE 21:00 A 01:00 HRS. DESAFORO 02:00 HRS. AFORO 13,000 PERSONAS, CON COBRO DE ENTRADA SEG贜 PREVENTA CON VENTA DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA     ",13000,2100,100,1,PARRES ARIAS,0,"FORO,ALTERNO",PARQUE IND. BELENES NORTE,ANILLO PERIFERICO,CALLE NO ENCONTRADA
18/01/2014,18/01/2014,"EVENTO FRONT 242 EL 18 ENERO 2014, APERTURA PTAS. 18:00 HRS. EVENTO 20:00 A 02.00 HRS. AFORO 1,000 PERSONAS. CON COBRO DE ENTRADA SEGUN PREVENTA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS",1000,1800,2000,1,VAZQUEZ REYES HUGO ING,39,"TEATRO,EST,CAV",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
