Colonia,Fecha,Festividad
6,Del 18 al 22 de Agosto,Fiesta Patronal Templo : María Puerta del Cielo
6,18 de Agosto,Virgen de Talpa
10,El 3 mayo,Fiesta Patronal del Templo de la Cruz
12,El 12 de diciembre,"Fiesta Patronal Templo : Capilla ""Virgen de Guadalupe"""
13,En Junio la tercera semana,"Fiesta Patronal Templo ""Sr. De las Maravillas"""
15,13 de junio,"Fiesta Patronal Templo ""San Antonio de Padua"""
16,El 13 de mayo,"Fiesta Patronal Templo : Iglesia ""Nuestra Señora de Altagracia"""
17,En agosto,"Fiesta Patronal Templo : ""Nuestra Señora de Altamira"""
22,A finales de mayo principios de junio,"Fiesta Patronal Templo : ""Sagrado Corazón de Jesús"""
22,Último sábado del mes de mayo,"Fiesta Patronal Templo :  ""Dulce Corazón de María"""
23,25 de junio,Fiesta Patronal Templo Santiago Apóstol
25,15 de agosto,Fiesta Patronal Templo Nuestra Señora del Rosario
32,2 de Enero,"Fiesta Patronal Templo  ""Santo Niño de Atocha"""
34,3 de mayo,"Fiesta Patronal Templo  ""Monte de la Santa Cruz"""
38,19 de marzo,Fiesta Patronal Templo José Esposo de María
44,El 28 de octubre,"Fiesta Patronal Templo : ""San Judas Tadeo"""
46,El 12 de diciembre,"Fiesta Patronal Templo : ""Virgen de Guadalupe Madre de los Mexicanos"""
48,En febrero,"Fiesta Patronal Templo : ""Nuestra Señora de la Paz"""
49,El 19 al  27 de mayo,"Fiesta Patronal Templo : ""Espíritu Santo"""
51,El 30 de septiembre,Fiesta Patronal Templo : San Jerónimo
52,El 26 de julio,"Fiesta Patronal Temlo : ""Santa Ana"""
52,08 de diciembre,"Fiesta Patronal Templo : ""La Purisima"""
55,El 1 de noviembre,"Fiesta Patronal Templo : ""De Todos los Santos"""
58,En julio,"Fiesta Patronal Templo : ""San Pedro de la Cantera"""
78,El 11 de noviembre,"Fiesta Patronal Templo : ""San Martín Obispo"""
81,El 4 de octubre,"Fiesta Patronal Templo : ""San Francisco de Asís"""
83,El 18 de junio,"Fiesta Patronal Templo : ""Sagrado Corazón de Jesús"""
85,El 19 de mayo,"Fiesta Patronal Templo : ""Espirítu Santo"""
89,El 4 de julio,"Fiesta Patronal Templo : ""Refugio de los Pecadores"""
96,En septiembre,"Fiesta Patronal Templo : Capilla ""La Virgen de la Merced"""
108,El 12 de diciembre,"Fiesta Patronal Templo : ""Nuestra Señora de Guadalupe"""
108,En Junio,"Fiesta Patronal Templo : ""Sagrado Corazón"""
119,El 12 de diciembre,"Fiesta Patronal Templo : ""Nuestra Señora de Guadalupe"""
126,En Junio,"Fiesta Patronal Templo : Capilla ""San Antonio de Padua"""
127,El 4 de julio,"Fiesta Patronal Templo : ""Nuestra Señora del Refugio"""
131,El 4 de octubre,"Fiesta Patronal Templo : ""San Francisco de Asís"""
131,Octubre,San Francisco de Asís
141,,Patronales (San Pablo y San Pedro)
149,El 23 de mayo,"Fiesta Patronal Templo : ""Jesús Sacerdote"""
156,A fines de septiembre principios de octubre,"Fiesta Patronal Templo : ""Consuelo de los Afligidos"""
165,El 12 de diciembre,"Fiesta Patronal Tempo : ""Nuestra Madre de Guadalupe"""
170,El 3 de mayo,"Fiesta Patronal Templo : Capilla ""Santa Cruz de la Reconciliación"""
175,4 de octubre,"Fiesta Patronal Templo : ""San Francisco"""
182,El 9 de diciembre,"Fiesta Patronal Templo : ""San Diego"""
189,El 2 de febrero,"Fiesta Patronal Templo : ""Virgen de los Belenes"""
197,El 24 de junio,"Fiesta Patronal Templo : Paroquia ""San Juan Bautista"""
216,El 4 de octubre,"Fiesta Patronal Tempo : ""San Francisco de Asis"""
220,20 de Julio,"Fiesta Patronal Templo : ""San Elías"""
229,Jueves de junio,"Fiesta Patronal Tempo : ""Corpus Crist"""
250,15 de septiembre,Fiestas patrias
259,El 12 de diciembre,"Fiesta Patronal Templo : ""Nuestra Señora de Guadalupe"""
266,2° domingo  de mayo,María Madre del Redentor
270,El 12 de diciembre,"Fiesta Patronal Templo : ""Nuestra Señora de Guadalupe"""
285,El 2 de febrero,Fiesta Patronal Templo : Parroquia Santo Niño de Atocha
324,En octubre,"Fiesta Patronal Templo : ""Nuestra Señora de las Victorias"""
343,El 26 de diciembre,"Fiesta Patronal Templo : Parroquia ""San Estebán"""
345,En 15 de mayo y 29 de noviembre,"Fiesta Patronal Templo : Parroquia San Isidro Labrador"""
375,En mayo-junio,"Fiesta Patronal Templo : Parroquia ""Espirítu Santo"""
385,En noviembre,"Fiesta Patronal Templo : ""Jesús de Nazaret"""
393,Segunda semana de mayo,"Fiesta Patronal Templo : ""María Madre Nuestra"""
418,El 12 de diciembre,"Fiesta Patronal Templo : ""El Tepeyac"""
418,En enero,"Fiesta Patronal Templo : ""Señor de los Rayos"""
65,12 de octubre,Romería de Nuestra Señora de Zapopan
65,18 de diciembre,Día de Nuestra Señora de Zapopan
65,15 de Septiembre,Grito de Independencia
65,22 de noviembre,Día del Músico (Santa Cecilia)
65,8 de diciembre,Aniversario de la fundación de Zapopan en 1541
356,15 de mayo,San Isidro Labrador
