"","address","lat","lon"
"1","JUAN GARCIA y CASIANO TORRES,VILLAS DE GUADALUPE,Zapopan",20.6630564,-103.4159593
"2","LA VILLA  y CUAUHTEMOC,VILLA LA,Zapopan",20.6522186,-103.4081181
"3","PERIFERICO y AV. VALLARTA,TULE EL,Zapopan",20.6691416,-103.4520382
"4","JAZMIN  y AMAPOLA,FLORESTA LA,Zapopan",20.6719563,-103.416501
"5","AV. NICOLAS COPERNICO y AV. CARNERO,ARBOLEDAS,Zapopan",20.7143503,-103.4510597
"6","AV. NICOLAS COPERNICO y AV. CARNERO,ARBOLEDAS,Zapopan",20.7143503,-103.4510597
"7","AV. VALENTIN VIDRIO ARCE y AV. VALLE DE LOS MOLINOS,VALLE DE LOS MOLINOS,Zapopan",20.6719563,-103.416501
"8","MARIA FELIPA RODRIGUEZ y CASIANO TORRES,VILLAS DE GUADALUPE,Zapopan",20.6630564,-103.4159593
"9","ALBAÑILES  y HERREROS,NUEVO VERGEL,Zapopan",20.7546032,-103.3626803
"10","MARIA FELIPA RODRIGUEZ y CASIANO TORRES,VILLAS DE GUADALUPE,Zapopan",20.6630564,-103.4159593
"11","GRANIZO y HURACAN,SANTA MONICA DE LOS CHORRITOS,Zapopan",20.6719563,-103.416501
"12","AV. CAMINO DE LAS MISIONES y AV. MISION DEL BAJIO,MISION DEL BOSQUE,Zapopan",20.7635738,-103.3873896
"13","AV. CRUZ DEL SUR y MONTEMORELOS,RINCONADA DE LA CALMA,Zapopan",20.6355702,-103.4150564
"14","PROL. AV. GUADALUPE y NIQUEL,ARENALES TAPATIOS,Zapopan",20.6364805,-103.4633269
"15","ARCO IRIS y ARCO DE MAJENCIO,ARCOS DE ZAPOPAN,Zapopan",20.7423458,-103.411753
"16","PRIV. ESMERALDA y PLAN DE GUADALUPE,BALCONES DE LA CANTERA,Zapopan",20.7672469,-103.368058
"17","CARR. A NEXTIPAC y CARR. A NOGALES,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"18","CARR. A NEXTIPAC y CARR. A NOGALES,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"19","PLAN DE AYALA y TRATADO DE CAMPECHE,PARQUES DEL AUDITORIO,Zapopan",20.7342451,-103.3486213
"20","HILO BLANCO y PRIV. CAPULINES,AGUJAS LAS,Zapopan",20.6719563,-103.416501
"21","AV. GUADALUPE y RAFAEL SANZIO,ARCOS DE GUADALUPE,Zapopan",20.6631759,-103.4352826
"22","AV. GUADALUPE y RAFAEL SANZIO,ARCOS DE GUADALUPE,Zapopan",20.6631759,-103.4352826
"23","PRIV. BAHIA SEGUNDA y BAHIA ESCONDIDA,MIRAMAR,Zapopan",20.6418055,-103.4465792
"24","CARR. A SALTILLO y OCCIDENTAL,BATAN EL,Zapopan",20.6719563,-103.416501
"25","JUAN DEL CARMEN y PERIFERICO,PALMITA LA,Zapopan",20.6719563,-103.416501
"26","PERIFERICO y AV. SANTA MARGARITA,SANTA MARGARITA,Zapopan",20.7120108,-103.4358968
"27","DEL LIENZO y BLVR. DE LOS CHARROS,VIGIA EL,Zapopan",20.6719563,-103.416501
"28","PERIFERICO y AV. VALLARTA,SAN JUAN DE OCOTAN,Zapopan",20.6691416,-103.4520382
"29","AV. ECONOMOS y MISION SAN LORENZO,RINCONADA DEL PARQUE,Zapopan",20.6647391,-103.4063889
"30","NIÑO ARTILLERO y LIBERACION,INDIGENA DE MEZQUITAN,Zapopan",20.7385264,-103.3312962
"31","PLAN DE AYALA y TRATADO DE TLALTELOLCO,PARQUES DEL AUDITORIO,Zapopan",20.7342451,-103.3486213
"32","ABEL SALGADO y AGUA FRIA,AGUA FRIA,Zapopan",20.7514775,-103.3532295
"33","AV. MANUEL AVILA CAMACHO y AV. DE LA PATRIA,RESIDENCIAL PATRIA,Zapopan",43.3525686,-3.9511966
"34","FELIPE ANGELES y LAZARO CARDENAS,AGUA BLANCA INDUSTRIAL,Zapopan",20.6018443,-103.4237326
"35","RIO BLANCO y AV. SAN MATEO,PARQUES DE TESISTAN,Zapopan",20.7528052,-103.4314669
"36","LAS FLORES y PLATANARES,LOMAS DE TABACHINES,Zapopan",20.746695,-103.3592361
"37","AV. MARIANO OTERO y AV. PLAZA DEL SOL,PLAZA DEL SOL,Zapopan",20.6719563,-103.416501
"38","3a. PRIV. PARRAL y PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"39","PARRAL y PRIV. PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"40","PARRAL y PRIV. PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"41","ARCO DECIO y ARCO DE TITO,ARCOS DE ZAPOPAN,Zapopan",20.7411499,-103.409278
"42","RAFAEL ROBLES GALVEZ y ZAPOTLAN,BENITO JUAREZ,Zapopan",20.7335094,-103.3391693
"43","AV. DEL TESORO y AV. TABACHINES,LOMA BONITA EJIDAL,Zapopan",20.6270858,-103.4025732
"44","BELENES y LAZARO CARDENAS,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"45","GINEBRA y DIORITA,VALLE DE LOS MOLINOS,Zapopan",20.6719563,-103.416501
"46","CONSTITUYENTES y GRAL. MANUEL M. DIEGUEZ,CONSTITUCION,Zapopan",20.7259754,-103.3682867
"47","OCAMPO y HIDALGO ,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"48","SARA BERTHA DE LA TORRE y SALVADOR REYES,PASEOS DEL SOL,Zapopan",20.6719563,-103.416501
"49","SAN SILVESTRE y LUCIO BLANCO ,ROBERTO OROZCO,Zapopan",20.6719563,-103.416501
"50","2a. PONIENTE y 8a. SUR,NUEVO MEXICO,Zapopan",25.6428657,-100.1862516
"51","RAFAEL SANZIO y AV. VALLARTA,CAMICHINES VALLARTA,Zapopan",20.6796508,-103.4289415
"52","ATOTONILCO y BELENES,BENITO JUAREZ,Zapopan",NA,NA
"53","QUIRINO RIVERA y JACINTO PEÑA,VILLAS DE GUADALUPE,Zapopan",20.6630564,-103.4159593
"54","CAMINO NACIONAL y PRIV. EJIDO,SANTA ANA TEPETITLAN,Zapopan",20.6163257,-103.4453137
"55","AV. AVIACION y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"56","CAMINO A LA PIEDRERA y CAMINO A LAS MESITAS,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"57","CAMINO A LA PIEDRERA y CAMINO A LAS MESITAS,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"58","PALOMA y VENUSTIANO CARRANZA,VALLE DE NUEVO MEXICO,Zapopan",20.7552947,-103.4358244
"59","LIC. SILVANO BARBA GONZALEZ y AND. NTE. 3,CONJUNTO LAURELES,Zapopan",20.7330311,-103.3872506
"60","JOSE MARIA MARTINEZ y PIPILA,MARTINICA LA,Zapopan",20.6719563,-103.416501
"61","AV. TEPEYAC y AV. DE LA PATRIA,MIRADOR DEL SOL,Zapopan",20.6564784,-103.4216452
"62","ANAHUAC y SAN FRANCISCO DE SALES,SAN ISIDRO EJIDAL,Zapopan",20.7278032,-103.3966385
"63","ANAHUAC y SAN FRANCISCO DE SALES,SAN ISIDRO EJIDAL,Zapopan",20.7278032,-103.3966385
"64","TUL y OZTOTL,MESA COLORADA PONIENTE,Zapopan",20.7713611,-103.3453688
"65","PARRAL  y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"66","CARR. A NOGALES y CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"67","CARR. A NOGALES y CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"68","AV. ADOLFO LOPEZ MATEOS y 12 DE DICIEMBRE,FUERA DEL MUNICIPIO,Zapopan",20.6719563,-103.416501
"69","SERBIA y MACEDONIA,LOMA BLANCA,Zapopan",20.7142039,-103.3888546
"70","SANTA LAURA y PERIFERICO,SANTA MARGARITA,Zapopan",20.7401426,-103.3874468
"71","LIC. FELIX PALAVICINI y RAFAEL VEGA SANCHEZ,CONSTITUCION,Zapopan",20.729735,-103.368837
"72","PROL. MARIANO OTERO y FRANCISCO I. MADERO,ARENALES TAPATIOS,Zapopan",20.6292253,-103.4552577
"73","EJIDO DEL COLLI y ZINAPECUARO,VOLCAN DEL COLLI,Zapopan",20.6614511,-103.4551257
"74","RAFAEL VEGA SANCHEZ y LIC. FELIX PALAVICINI,CONSTITUCION,Zapopan",20.7307649,-103.3612148
