"","address","lat","lon"
"1","JUAN GARCIA,VILLAS DE GUADALUPE,Zapopan",20.7559876,-103.3426826
"2","LA VILLA ,VILLA LA,Zapopan",20.7280369,-103.3930643
"3","PERIFERICO,TULE EL,Zapopan",20.6978307,-103.4533302
"4","JAZMIN ,FLORESTA LA,Zapopan",20.6448566,-103.4661231
"5","AV. NICOLAS COPERNICO,ARBOLEDAS,Zapopan",20.7143503,-103.4510597
"6","AV. NICOLAS COPERNICO,ARBOLEDAS,Zapopan",20.7143503,-103.4510597
"7","AV. VALENTIN VIDRIO ARCE,VALLE DE LOS MOLINOS,Zapopan",20.6719563,-103.416501
"8","MARIA FELIPA RODRIGUEZ,VILLAS DE GUADALUPE,Zapopan",20.7565085,-103.339248
"9","ALBAÑILES ,NUEVO VERGEL,Zapopan",20.754462,-103.3633121
"10","MARIA FELIPA RODRIGUEZ,VILLAS DE GUADALUPE,Zapopan",20.7565085,-103.339248
"11","GRANIZO,SANTA MONICA DE LOS CHORRITOS,Zapopan",20.6719563,-103.416501
"12","AV. CAMINO DE LAS MISIONES,MISION DEL BOSQUE,Zapopan",20.760141,-103.4035551
"13","AV. CRUZ DEL SUR,RINCONADA DE LA CALMA,Zapopan",20.6428136,-103.3872863
"14","PROL. AV. GUADALUPE,ARENALES TAPATIOS,Zapopan",20.6586694,-103.4375221
"15","ARCO IRIS,ARCOS DE ZAPOPAN,Zapopan",20.7419527,-103.4096914
"16","PRIV. ESMERALDA,BALCONES DE LA CANTERA,Zapopan",20.7412873,-103.354439
"17","CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"18","CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"19","PLAN DE AYALA,PARQUES DEL AUDITORIO,Zapopan",20.7342451,-103.3486213
"20","HILO BLANCO,AGUJAS LAS,Zapopan",20.7962046,-103.4870256
"21","AV. GUADALUPE,ARCOS DE GUADALUPE,Zapopan",20.6614322,-103.4297734
"22","AV. GUADALUPE,ARCOS DE GUADALUPE,Zapopan",20.6614322,-103.4297734
"23","PRIV. BAHIA SEGUNDA,MIRAMAR,Zapopan",20.6405359,-103.4461927
"24","CARR. A SALTILLO,BATAN EL,Zapopan",20.6719563,-103.416501
"25","JUAN DEL CARMEN,PALMITA LA,Zapopan",20.7297577,-103.3563743
"26","PERIFERICO,SANTA MARGARITA,Zapopan",20.7401426,-103.3874468
"27","DEL LIENZO,VIGIA EL,Zapopan",20.7329425,-103.3927984
"28","PERIFERICO,SAN JUAN DE OCOTAN,Zapopan",20.6871311,-103.4552231
"29","AV. ECONOMOS,RINCONADA DEL PARQUE,Zapopan",20.6638745,-103.4431158
"30","NIÑO ARTILLERO,INDIGENA DE MEZQUITAN,Zapopan",20.7375328,-103.3334132
"31","PLAN DE AYALA,PARQUES DEL AUDITORIO,Zapopan",20.7342451,-103.3486213
"32","ABEL SALGADO,AGUA FRIA,Zapopan",20.7467444,-103.3476714
"33","AV. MANUEL AVILA CAMACHO,RESIDENCIAL PATRIA,Zapopan",20.7179111,-103.3837452
"34","FELIPE ANGELES,AGUA BLANCA INDUSTRIAL,Zapopan",20.6021887,-103.4234165
"35","RIO BLANCO,PARQUES DE TESISTAN,Zapopan",20.7955238,-103.4938467
"36","LAS FLORES,LOMAS DE TABACHINES,Zapopan",20.7475348,-103.3604673
"37","AV. MARIANO OTERO,PLAZA DEL SOL,Zapopan",20.6504581,-103.3992177
"38","3a. PRIV. PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7041707,-103.4518823
"39","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"40","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
